Sample_ID,Object ID,other ID,Genbank ID,AlvarID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup_assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source_publication,metadata_source_or_what_i_put_into_mastersheet,paper link,notes
D_Illinois1_NA,"ISM-1963-142-170-B1, ISM070",USA_AppleCreek_c1750,,USA_AppleCreek_c1750 ,USA_AppleCreek_c1750,D_Illinois1_NA_AppleCreek_USA_c_2500_A2b2,-89.17,40.15,USA,"Apple Creek, Illinois",,A2b2,Y,2500,,contextual,Canis familiaris,26.37,,0.9678,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",Alvar,https://www.science.org/doi/10.1126/science.aao4776,
D_Illinois2_1700,ISM_5_6_60_11C68_X_792,,,,D_Illinois2_1700,D_Illinois2_1700_Snyders_USA_c_1700,-90.65,39.16,USA,Snyders Village,,,,1700,,contextual ,canis familiaris,0.85,,0.8539,,American_dogs_lachie1,,
D_Illinois3_1700,ISM_6_16_55_11C8_X_792,,,,D_Illinois3_1700,D_Illinois3_1700_Snyders_USA_c_1700,-90.65,39.16,USA,Snyders Village,,,,1700,,contextual ,Canis familiaris,4.23,,0.9329,,American_dogs_lachie1,,
D_JaguarCave1_10370,HMCZ_51769,,,,D_JaguarCave_10370,D_JaguarCave1_10370_JaguarCave_USA_d_10370,-113.62,44.85,USA,Jaguar Cave,,,,10370,3000-1000 cal BP,direct_radiocarbon_dating,Canis familiaris,10.49,,0.9202,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_JaguarCave1_1400,HMCZ_52291,, ,USA_JaguarCave_c1500 ,D_JaguarCave_1400,D_JaguarCave1_1400_JaguarCave_USA_d_1400_A2b3,-113.62,44.85,USA,Jaguar Cave,,A2b3,Y,1400,3000-1000 cal BP,direct_radiocarbon_dating,Canis familiaris,13.9,,0.9621,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_JaneyBGoode1_1000,11S1232 98-1,,, ,D_JaneyBGoode_1000,D_JaneyBGoode1_1000_JaneyBGoode_USA_c_1000,-90.16,38.66,USA,"Janey B. Goode, Illinois",, ,,1000,,contextual,Canis familiaris,55.83,,0.9867,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_JaneyBGoode2_1000,11S1232 7892-1,,,USA_JaneyBGoode2_c1200,D_JaneyBGoode2_1000,D_JaneyBGoode2_1000_JaneyBGoode_USA_c_1000_A2b_,-90.16,38.66,USA,"Janey B. Goode, Illinois",,A2b_,Y,1000,,contextual,Canis familiaris,168.99,,0.98,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_JaneyBGoode3_1000,11S1232 34-2,USA_JaneyBGoode18_c1200,,USA_JaneyBGoode3_c1200,D_JaneyBGoode3_1000,D_JaneyBGoode3_1000_JaneyBGoode_USA_c_1200_A2b4,-90.16,38.66,USA,"Janey B. Goode, Illinois",,A2b4,Y,1200,,contextual,Canis familiaris,122.74,,0.9867,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Koster1_9905,ISM_F2357,,,USA_Koster_9905 ,D_Koster_9905,D_Koster1_9905_Koster_USA_d_9905_A2b2,-90.55,39.21,USA,"Koster, Illinois",,A2b2,Y,9905,10130-9680 cal BP,direct_radiocarbon_dating,Canis familiaris,0.05,,0.9807,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Labrador1_150,,,,,D_Labrador_150,D_Labrador1_150_Uivak_Point1_Labrador_c_150,-61.909167,57.62,Labrador,"Uivak Point 1, Okak Bay, Labrador",,,,150,,contextual,Canis familiaris,4.4,,0.8169,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Labrador1_200,,,,,D_Labrador_200,D_Labrador1_200_DoubleMerPoint_Labrador_c_200,-59.0675,54.0851,Canada,"Double Mer Point, Labrador",,,,200,,contextual,Canis familiaris,4.78,,0.9639,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_LittleB1_5000,CT8 D-2 2-90,,,USA_Perry_c5000 ,D_LittleB_5000,D_LittleB1_5000_LittleBear_USA_c_5000_A2b4,-87.67,34.31,USA,"Little Bear, Alabama",,A2b4,Y,5000,,contextual,Canis familiaris,44.63,,0.9811,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Mayapan1_1000,M2: Q152 bag 1,,,Mexico_Mayapan_c1000,D_Mayapan_1000,D_Mayapan1_1000_Mayapan_Mexico_c_1000_A2b1a,-89.22,20.46,Mexico,"Mayapan, Yucatan",,A2b1a,Y,1000,,contextual,Canis familiaris,61.54,,0.9752,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Mayapan1_450,HMCZ_47854_1,,,,D_Mayapan_450,D_Mayapan1_450_Mayapan_Mexico_c_450,-89.46,20.63,Mexico,Mayapan,,,,450,,contextual ,canis familiaris,13.62,,0.9522,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Mayapan2_1000,M3: Q152 bag 1,,,Mexico_Mayapan2_c1000 ,D_Mayapan2_1000,D_Mayapan2_1000_Mayapan_Mexico_c_1000_A2b1a,-89.22,20.46,Mexico,"Mayapan, Yucatan",,A2b1a,Y,1000,,contextual ,Canis familiaris,42.79,,0.9669,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Mayapan3_1000,M4: Q152 bag 1,,,Mexico_Mayapan3_c1000 ,D_Mayapan3_1000,D_Mayapan3_1000_Mayapan_Mexico_c_1000_A2b1a,-89.22,20.46,Mexico,"Mayapan, Yucatan",,A2b1a,Y,1000,,contextual ,Canis familiaris,63.31613559,,0.9767,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Mexico1_1000,M10: Q162 bag 4,,, ,D_Mexico_1000,D_Mexico1_1000_Mayapan_Mexico_c_1000,-89.22,20.46,Mexico,"Mayapan, Yucatan",, , ,1000,,contextual ,Canis familiaris,12.72,,0.9722,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Mississippi1_675,FL-11,,,,D_Mississippi_365,D_Mississippi1_675_Oliver_USA_c_365,-90.64,34.01,USA,Oliver,,,,365,,contextual,Canis familiaris,12.81,,0.9071,,"Brian Worthington, American_dogs_lachie1",,
D_Missouri1_8385,ISM_1956_45L190_11_R_5_6090,,,USA_Modoc_8385,D_Missouri_8385,D_Missouri1_8385_Modoc_USA_d_8385_A2b4,-90.06,38.06,USA,"Modoc, Missouri",,A2b4,Y,8385,8560-8210 cal BP,direct_radiocarbon_dating,Canis familiaris,0.07,,0.9825,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Newfoundland1_4500,MU_NP50A_1,,,"Canada_PortauChoix_4020, Canada_PortauChoix_4711 in sheet ",D_Newfoundland_4500,D_Newfoundland1_4500_PortauChoix_Canada_d_4500_A2b2,-57.35,50.7,Canada,"Port au Choix, Newfoundland",,A2b2,Y,4500,4402-3912 cal BP,direct_radiocarbon_dating,Canis familiaris,116.23,,0.9868,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Nunavut1_1000,,,,,D_Nunavut_1000,D_Nunavut1_1000_Tikilik_Nunavut_c_1000,-86.798981,70.453262,Nunavut,"Tikilik, Igloolik Island",,,,1000,,contextual,Canis familiaris,6.7,,0.854,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut1_350,,,,,D_Nunavut_350,D_Nunavut1_350_Haa_Nunavut_c_350,-86.798981,70.453262,Nunavut,"Haa Island, Hayes Fjord, Ellesmere Island",,,,350,,contextual,Canis familiaris,7.9,,0.8494,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut1_425,,,,,D_Nunavut_425,D_Nunavut1_425_Silumiut_Nunavut_c_425,-86.798981,70.453262,Nunavut,"Silumiut Island, Chesterfield Inlet",,,,425,,contextual,Canis familiaris,35,,0.9119,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut1_675,,,,,D_Nunavut_675,D_Nunavut1_675_PealePoint_Nunavut_c_675,-86.798981,70.453262,Nunavut,"Peale Point, Frobisher Bay, Baffin Island",,,,675,,contextual,Canis familiaris,10.2,,0.9232,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut1_700,,,,,D_Nunavut_700,D_Nunavut1_700_Talaguak_Nunavut_c_700,-86.798981,70.453262,Nunavut,"Talaguak, Kimmirut (Lake Harbour), Baffin Island",,,,700,,contextual,Canis familiaris,11.7,,0.8867,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut2_650,,,,Canada_Tikilik2_c650,D_Nunavut2_650,D_Nunavut2_650_Tikilik_Nunavut_c_650_A1b1,-86.798981,70.453262,Nunavut,"Tikilik, Igloolik Island",,A1b1,Y,650,,contextual,Canis familiaris,68.9,,0.8926,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut3_650,,,,Canada_Tikilik3_c650,D_Nunavut3_650,D_Nunavut3_650_Tikilik_Nunavut_c_650_A2a1,-86.798981,70.453262,Nunavut,"Tikilik, Igloolik Island",,A2a1,Y,650,,contextual,Canis familiaris,16.5,,0.9239,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Nunavut4_650,,,,,D_Nunavut4_650,D_Nunavut4_650_PordenPoint_Nunavut_c_650,-86.798981,70.453262,Nunavut,"Porden Point, Grinnell Peninsula, Devon Island",,,,650,,contextual,Canis familiaris,20.4,,0.9384,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Ohio1_2200,OSU_4816_2_2,,,USA_SciotoCaverns_c2200,D_Ohio_2200,D_Ohio1_2200_Scioto_USA_c_2200_A2b4,-83.11,40.11,USA,"Scioto Caverns, Ohio",,A2b4,Y,2200,,contextual ,Canis familiaris,30.5,,0.9803,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Ohio1_700,OSU_F5607,AL2772,,,D_Ohio_700,D_Ohio1_700_Reinhardt_USA_d_725,-83,39.78,USA,Reinhardt,,,,725,AMS dated (awaiting to hear from Paul regards date),direct_radiocarbon_dating,Canis familiaris,4.57,,0.7774,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Ohio2_1900,OSU_4816_2_3,,,,D_Ohio2_1900,D_Ohio2_1900_HolderWrightFarm_USA_c_1900,-83.11,40.11,USA,Holder Wright Farm and Earthworks,,,,1900,,contextual ,Canis familiaris,0.37,,0.9674,,American_dogs_lachie1,,
D_Ohio2_2200,OSU_4816_2_4,,,USA_SciotoCaverns2_c2200 ,D_Ohio2_2200,D_Ohio2_2200_Scioto_USA_c_2200_A2b4,-83.11,40.11,USA,"Scioto Caverns, Ohio",,A2b4,Y,2200,,contextual ,Canis familiaris,89.69,,0.9867,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Ohio3_2200,OSU_4816_2_6,,,USA_SciotoCaverns3_c2200,D_Ohio3_2200,D_Ohio3_2200_Scioto_USA_c_2200_A2b4,-83.11,40.11,USA,"Scioto Caverns, Ohio",,A2b4,Y,2200,,contextual ,Canis familiaris,35.45,,0.9791,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Ohio4_2200,OSU_4816_2_8,,,USA_SciotoCaverns4_c2200,D_Ohio4_2200,D_Ohio4_2200_Scioto_USA_c_2200_A2b4,-83.11,40.11,USA,"Scioto Caverns, Ohio",,A2b4,Y,2200,,contextual,Canis familiaris,29.37,,0.9824,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Ohio5_2200,OSU_4816_3_4,,,USA_SciotoCaverns5_c2200,D_Ohio5_2200,D_Ohio5_2200_Scioto_USA_c_2200_A2b4,-83.11,40.11,USA,"Scioto Caverns, Ohio",,A2b4,Y,2200,,contextual ,Canis familiaris,45.15,,0.9798,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Ohio6_2200,OSU_4816_3_8,,,,D_Ohio6_2200,D_Ohio6_2200_Scioto_USA_c_2200,-83.11,40.11,USA,"Scioto Caverns, Ohio",,,,2200,,contextual ,Canis familiaris,61.43,,0.9828,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_PrinceRupert1_1500,D1-184,Canada_PrinceRupert3_c1500, ,Canada_PrinceRupert_c1500,D_PrinceRupert_1500,D_PrinceRupert1_1500_PrinceRupert_Canada_c_1500_A2b5,-130.34,54.3,Canada,"Boardwalk, Prince Rupert Harbour, British Columbia",,A2b5,Y,1500,,contextual,Canis familiaris,129.23,,0.973,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Weyanoke1_680,DBU2-LM1,,,,D_Weyanoke_680,D_Weyanoke1_680_Hatch_USA_d_680,-77.07,37.29,USA,"Weyanoke Old Town, Virginia (the Hatch site)",,,,680,985-935 cal BP,direct_radiocarbon_dating,Canis familiaris,71.07,,0.9834,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
ELOLIV-S-R27,,,,,ELOLIV-S-R27_AD2010,ELOLIV-S-R27_El_Olivar_Chile_c_850,-71.22863644,-29.95757815,"Chile, Coquimbo",El Olivar,,,,850,1200-500 bp,contextual,Canis familiaris,1.73456,81.6763,0.805,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Individuo_1,,,,,Individuo_1_SC1056,Individuo_1_Pucar_deTilcara_Argentina_d_425,-65.40258993,-23.58650372,Argentina,Pucará de Tilcara,,,,425,550-300 cal.BPc,direct_radiocarbon_dating,Canis familiaris,118.199,99.9701,0.9989,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
JR_118236,,,,,JR_118236,JR_118236_Jamestown_USA_c_409,-76.7547,37.2106,USA,"Jamestown Island, Virginia ",,,,409,,contextual,Canis familiaris,60.02,,0.9984,ThomasAmerAntiq2024,Lachie,https://www.cambridge.org/core/journals/american-antiquity/article/dogs-of-tsenacomoco-ancient-dna-reveals-the-presence-of-local-dogs-at-jamestown-colony-in-the-early-seventeenth-century/960B1D0EC96B492E0AFDA088CEB949E0,
JR_135139,,,,,JR_135139,JR_135139_Jamestown_USA_c_409,-76.7547,37.2106,USA,"Jamestown Island, Virginia ",,,,409,,contextual,Canis familiaris,22.14,,0.9939,ThomasAmerAntiq2024,Lachie,https://www.cambridge.org/core/journals/american-antiquity/article/dogs-of-tsenacomoco-ancient-dna-reveals-the-presence-of-local-dogs-at-jamestown-colony-in-the-early-seventeenth-century/960B1D0EC96B492E0AFDA088CEB949E0,
JR_68100,,,,,JR_68100,JR_68100_Jamestown_USA_c_409,-76.7547,37.2106,USA,"Jamestown Island, Virginia ",,,,409,,contextual,Canis familiaris,20.35,,0.9881,ThomasAmerAntiq2024,Lachie,https://www.cambridge.org/core/journals/american-antiquity/article/dogs-of-tsenacomoco-ancient-dna-reveals-the-presence-of-local-dogs-at-jamestown-colony-in-the-early-seventeenth-century/960B1D0EC96B492E0AFDA088CEB949E0,
JR_73052,,,,,JR_73052,JR_73052_Jamestown_USA_c_409,-76.7547,37.2106,USA,"Jamestown Island, Virginia ",,,,409,,contextual,Canis familiaris,26,,0.9948,ThomasAmerAntiq2024,Lachie,https://www.cambridge.org/core/journals/american-antiquity/article/dogs-of-tsenacomoco-ancient-dna-reveals-the-presence-of-local-dogs-at-jamestown-colony-in-the-early-seventeenth-century/960B1D0EC96B492E0AFDA088CEB949E0,
JR_75943,,,,,JR_75943,JR_75943_Jamestown_USA_c_409,-76.7547,37.2106,USA,"Jamestown Island, Virginia ",,,,409,,contextual,Canis familiaris,33.75,,0.9982,ThomasAmerAntiq2024,Lachie,https://www.cambridge.org/core/journals/american-antiquity/article/dogs-of-tsenacomoco-ancient-dna-reveals-the-presence-of-local-dogs-at-jamestown-colony-in-the-early-seventeenth-century/960B1D0EC96B492E0AFDA088CEB949E0,
MCZ39564,,,,,MCZ39564,MCZ39564_Caylloma_Peru_NA,-71.79496,-15.20789,Peru,"Caylloma, San Ignacio",,,,,,NA,Canis familiaris,9.13,98.95,0.9716,,Lachie,,"no date, LMU American Dog"
MCZ44669,,,, ,MCZ44669,MCZ44669_Hopedale_Canada_NA,-60.2032,55.4674,Canada,"Hopedale, Labrador",, , ,,,NA,Canis familiaris,1.51,74.83,0.6939,,Lachie,,"no date, LMU American Dog"
Mcz51780,,,,,Mcz51780,Mcz51780_JaguarCave_USA_NA,-112.92112,44.27797,USA,"Jaguar Cave, Idaho",,,,,,NA,Canis familiaris,6.54,98.99,0.9693,,Lachie,,"no date, LMU American Dog"
MCZ7408,,,, ,MCZ7408,MCZ7408_Hopedale_Canada_NA,-60.2032,55.4674,Canada,"Hopedale, Labrador",, , ,,,NA,Canis familiaris,4.74,93.11,0.8872,,Lachie,,"no date, LMU American Dog"
Nunura_1,,,,,Nunura_1,Nunura_1_HuacaAmarilla_Peru_d_720,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,720,765-676 cal.BPb,direct_radiocarbon_dating,Canis familiaris,111.676,99.87,0.9984,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_10,,,,,Nunura_10,Nunura_10_HuacaAmarilla_Peru_d_882.5,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,882.5,960-805 cal.BPb,direct_radiocarbon_dating,Canis familiaris,1.704,68.67,0.6588,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_12,,,,,Nunura_12,Nunura_12_HuacaAmarilla_Peru_c_825,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,825,1050-600 bp,contextual,Canis familiaris,14.502,98.27,0.9811,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_13,,,,,Nunura_13,Nunura_13_HuacaAmarilla_Peru_c_825,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,825,1050-600 bp,contextual,Canis familiaris,2.098,73.6,0.713,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_14,,,,,Nunura_14,Nunura_14_HuacaAmarilla_Peru_c_825,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,825,1050-600 bp,contextual,Canis familiaris,1.645,69.67,0.6752,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_15,,,,,Nunura_15,Nunura_15_HuacaAmarilla_Peru_c_825,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,825,1050-600 bp,contextual,Canis familiaris,48.716,98.77,0.9873,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_16,,,,,Nunura_16,Nunura_16_HuacaAmarilla_Peru_c_825,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,825,1050-600 bp,contextual,Canis familiaris,2.365,78.63,0.7653,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_17,,,,,Nunura_17,Nunura_17_HuacaAmarilla_Peru_d_846.5,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,846.5,929-800 cal.BPb,direct_radiocarbon_dating,Canis familiaris,3.673,85.77,0.8407,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_18,,,,,Nunura_18,Nunura_18_HuacaAmarilla_Peru_d_846.5,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,846.5,929-800 cal.BPb,direct_radiocarbon_dating,Canis familiaris,4.992,89.72,0.8858,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_19,,,,,Nunura_19,Nunura_19_HuacaAmarilla_Peru_d_865,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,865,929-800 cal.BPb,direct_radiocarbon_dating,Canis familiaris,12.718,96.75,0.9649,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_2,,,,,Nunura_2,Nunura_2_HuacaAmarilla_Peru_d_720,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,720,765-676 cal.BPb,direct_radiocarbon_dating,Canis familiaris,189.664,99.88,0.9984,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_20,,,,,Nunura_20,Nunura_20_HuacaAmarilla_Peru_d_865,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,865,929-800 cal.BPb,direct_radiocarbon_dating,Canis familiaris,24.79,97.66,0.9752,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_22,,,,,Nunura_22,Nunura_22_HuacaAmarilla_Peru_c_825,-81.06536171,-5.855859027,"Peru, Piura",Huaca Amarilla,,,,825,1050-600 bp,contextual,Canis familiaris,4.595,92.38,0.9145,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_23,,,,,Nunura_23,Nunura_23_HuacaGrande_Peru_d_882.5,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,882.5,960-805 cal.BPb,direct_radiocarbon_dating,Canis familiaris,1.75,69.02,0.6661,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_24,,,,,Nunura_24,Nunura_24_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,17.716,97.58,0.9744,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_25,,,,,Nunura_25,Nunura_25_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,30.932,98.02,0.9793,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_26,,,,,Nunura_26,Nunura_26_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,24.165,98.63,0.9854,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_27,,,,,Nunura_27,Nunura_27_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,14.284,95.85,0.9544,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Nunura_28,,,,,Nunura_28,Nunura_28_HuacaGrande_Peru_d_883,-81.10250488,-5.861654973,"Peru, Piura",Huaca Grande,,,,883,961-807 cal.BPb,direct_radiocarbon_dating,Canis familiaris,8.671,95.22,0.9473,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
