Sample_ID,Object ID,other ID,Genbank ID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source,metadata_source_or_what_i_put_into_mastersheet,Partial,paper link,notes
CUBA - 8,,CUB008.A0101,,ERR11770486,CUBA - 8_Brazil_SaoPaulo_d_2740.5_A2,-46.425,-23.891,Brazil,Sao Paulo,"Cubatão I - Burial 11, Tooth",A2,Y,2740.5,2756-2725,direct_radiocarbon_dating,human,56.1139,1.01216,0.9997585853,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I11296,NA-CA-81-12-9,,,I11296.AG,I11296_USA_Ca-sba-81_California_d_2737_A2+(64)+@153,-119.99934,34.455902,USA,"CA-SBA-81 (California, Santa Barbara County, Las Llagas No. 1)",,A2+(64)+@153,Y,2737,"805-773 calBCE (2590±20 BP, PSUAMS-4900)",direct_radiocarbon_dating,human,768.1,,0.9999396463,NakatsukaNature2023,harvard,,,
CIP009,2493,,,CIP009.A0101.MT1.12,CIP009_Cuba_CuevaDelPerico_d_2734_D1,-83.275,22.958,Cuba,Cueva del Perico,,D1,Y,2734,2746 - 2722 cal BP,direct_radiocarbon_dating,human,122.3954,,1.000060354,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
I18958,"S10132 (2014.052.643b, 353)",,,I18958.AG,I18958_USA_Guam_d_2732_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2732,"804-768 calBCE (2580±20 BP, PSUAMS-11562)",direct_radiocarbon_dating,human,0.149,,0.1252338705,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I16998,3436 (2014.052.239),,,I16998.AG,I16998_USA_Guam_d_2728_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,2728,"805-761 calBCE (2575±20 BP, PSUAMS-8344)",direct_radiocarbon_dating,human,9.541252,,0.8988472449,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
AZ32,,,MT742581,MT742581,AZ32_Colombia_Aguazuque__d__2725_A2+(64)+@16111,-74.276389,4.602222,Colombia,Aguazuque,,A2+(64)+@16111,Y,2725,2725 ± 35 calBP,direct_radiocarbon_dating,human,,,0.999818939,DelgadoQuaternaryInternational2020,Miguel Delgado,,https://www.sciencedirect.com/science/article/pii/S1040618220304961?via%3Dihub,
AZ33,,,MT742582,MT742582,AZ33_Colombia_Aguazuque__d__2725_B2d,-74.276389,4.602222,Colombia,Aguazuque,,B2d,Y,2725,2725 ± 35 calBP,direct_radiocarbon_dating,human,,,0.9993361096,DelgadoQuaternaryInternational2020,Miguel Delgado,,https://www.sciencedirect.com/science/article/pii/S1040618220304961?via%3Dihub,
I18495,"S10112 (2.014.052.199, 259)",,,I18495.AG,I18495_USA_Guam_d_2719_E2a,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2a,Y,2719,"798-597 calBCE (2560±15 BP, PSUAMS-8199)",direct_radiocarbon_dating,human,22.242984,,0.9856358259,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18496,"S10113 (2.014.052.202, 263)",,,I18496.AG,I18496_USA_Guam_d_2708_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,2708,"796-593 calBCE (2555±15 BP, PSUAMS-8200)",direct_radiocarbon_dating,human,11.85,,0.1354939948,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
B-03,"SDMM, 1972-64-1",PRJEB25445,,B-03,B-03_Mexico_Lc-218_c_2700_C1b11,-114.7032278,29.2030139,Mexico,"LC-218, Baja, MX",,C1b11,Y,2700,3000 BCE - 1500 CE,contextual,human,36.98,,0.7728891303,ScheibScience2018,,,10.1126/science.aar6851,
B-04,"SDMM, 16697",PRJEB25445,,B-04,B-04_Mexico_Comondu_c_2700_C1b41a1,-112,25.5,Mexico,"Comondu, Baja, MX",,C1b41a1,Y,2700,3000 BCE - 1500 CE,contextual,human,19.49,,0.7462731607,ScheibScience2018,,,10.1126/science.aar6851,
MX-01,"SDMM, 2996",PRJEB25445,,MX-01,MX-01_Mexico_IronSprings_c_2700_B2a5a,-115.1425107,30.0338923,Mexico,"Iron Springs, MX",,B2a5a,Y,2700,3000 BCE - 1500 CE,contextual,human,23.2,,0.7536966624,ScheibScience2018,,,10.1126/science.aar6851,
I18445,"P5721 (2.014.052.075, 322)",,,I18445.AG,I18445_USA_Guam_d_2693_E2a,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2a,Y,2693,"795-592 calBCE (2550±15 BP, PSUAMS-8197)",direct_radiocarbon_dating,human,9.249,,0.9572092462,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18442,"P5716 (2.014.052.242, 252)",,,I18442.AG,I18442_USA_Guam_d_2674_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,2674,"796-570 calBCE (2550±20 BP, PSUAMS-11557)",direct_radiocarbon_dating,human,5.751645,,0.9021666968,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
SN-43,"SDMM, 17736",PRJEB25445,,SN-43,SN-43_Canada_SanNicolasIsland_d_2635_C1b41a,-119.539,33.264278,Canada,"San Nicolas Island, CA",,C1b41a,Y,2635,"795-550 calBCE (2541±26 BP, OxA-34809)",direct_radiocarbon_dating,human,15.07,,0.7227955821,ScheibScience2018,,,10.1126/science.aar6851,
I18447,"P5723 (2.014.052.078, 327)",,,I18447.AG,I18447_USA_Guam_d_2632_M,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,M,Y,2632,"791-555 calBCE (2535±20 BP, PSUAMS-8976)",direct_radiocarbon_dating,human,26.458688,,0.9827992033,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18461,"P5737 (2.014.052.075, 323a)",,,I18461.AG,I18461_USA_Guam_d_2630_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,2630,"782-567 calBCE (2530±15 BP, PSUAMS-8198)",direct_radiocarbon_dating,human,9.578,,0.1564970728,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I16821,"3259 (313, 2014.052.216)",,,I16821.AG,I16821_USA_Guam_d_2628_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2628,"800-555 calBCE (2505±20 BP, PSUAMS-7120)",direct_radiocarbon_dating,human,1.066,,0.549580542,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I16820,"3258 (326, 2014.052.077)",,,I16820.AG,I16820_USA_Guam_d_2623_E2a,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2a,Y,2623,"800-545 calBCE (2505±20 BP, PSUAMS-7119)",direct_radiocarbon_dating,human,5.195486,,0.8929929386,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
CUBA - 1,,CUB002.A0101,,ERR11770485,CUBA - 1_Brazil_SaoPaulo_d_2605.5_D1,-46.425,-23.891,Brazil,Sao Paulo,"Cubatão I - Burial 01A, Tooth",D1,Y,2605.5,2721-2490,direct_radiocarbon_dating,human,20.9564,1.01216,0.9997585853,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I18450,"P5726 (2.014.052.227, 315)",,,I18450.AG,I18450_USA_Guam_d_2593_R,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,R,Y,2593,"771-543 calBCE (2495±20 BP, PSUAMS-11558)",direct_radiocarbon_dating,human,3.619,,0.824370813,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I23706,8 SON (Elemento 324),,,I23706.TW,I23706_Mexico_Sonora_c_2567_B2g1,-111.524,30.50042,Mexico,La Playa (Sonora),,B2g1,Y,2567,823-511 calBCE,contextual,human,69.145,,0.9997585853,NakatsukaNature2023,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I16818,"3256 (366, 2014.052.250)",,,I16818.AG,I16818_USA_Guam_c_2550_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2550,850-350 BCE,contextual,human,0.6834,,0.3913332126,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I16997,3435 (2014.052.234),,,I16997.AG,I16997_USA_Guam_c_2550_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,2550,850-350 BCE,contextual,human,3.981109,,0.8408473656,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18440,"P5714 (2.014.052.226, 314)",,,I18440.AG,I18440_USA_Guam_c_2550_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2550,850-350 BCE,contextual,human,1.481,,0.6488623333,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18444,"P5719 (2.014.052.244, 354)",,,I18444.AG,I18444_USA_Guam_c_2550_E2,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2,Y,2550,850-350 BCE,contextual,human,7.641197,,0.8871386324,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18462,"P5738 (2.014.052.076, 324)",I18462.AG,,gid-I18462.AG.BY__mid-I18462,I18462_USA_Guam_c_2550_E1a1b,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E1a1b,Y,2550,850-350 BCE,contextual,human,14.083711,,0.9740479208,LiuScience2022,harvard2,,doi:10.1126/science.abm6536,
I18502,"S10124 (2.014.052.074, 321)",,,I18502.AG,I18502_USA_Guam_c_2550_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2550,850-350 BCE,contextual,human,0.528,,0.3586215221,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I18959,"S10134 (2.014.052.265, 356)",,,I18959_d.AG,I18959_USA_Guam_c_2550_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2550,850-350 BCE,contextual,human,0.738306,,0.9191864325,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
Ancient152,,,KC998703,KC998703,Ancient152_Canada_DodgeIsland__d__2535_A2ag,-130.37919,54.29204,Canada,Dodge Island,GbTo-18,A2ag,Y,2535,2830+/−75 BP (S-1426) or cal BP 2770 to 2300 when corrected for the marine reservoir effect,direct_radiocarbon_dating,human,58,,0.9999396463,CuiPLOSOne2013,Yinqiu Cui,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066948#s5,
68JM,,OP605618,,"OP605618.1 Homo sapiens haplogroup C1b mitochondrion, complete genome",68JM_Argentina_BuenosAires_d_2530.5_C1b,-59.65,-38.683,Argentina,"El Guanaco 1 / Buenos Aires, Pampas region",,C1b,Y,2530.5,"2712–2349 cal BP (2470 ± 60 BP, BETA-128180)",direct_radiocarbon_dating,human,,,0.9997585853,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
70JM,,OP605620,,"OP605620.1 Homo sapiens haplogroup B2b mitochondrion, complete genome",70JM_Argentina_BuenosAires_d_2528.5_B2b16,-59.65,-38.683,Argentina,"El Guanaco 1 / Buenos Aires, Pampas region",,B2b16,Y,2528.5,"2712–2345 cal BP (2460 ± 60 BP, PTA-8520)",direct_radiocarbon_dating,human,,,0.9995775243,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
JAB-20,,JBT010.A0101,,ERR11770497,JAB-20_Brazil_SantaCatarina_d_2528.5_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 12A (L1-25-E1), Pars Petrosa",C1c,Y,2528.5,2697-2360,direct_radiocarbon_dating,human,68.8292,1.01216,0.999818939,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
MW886108,,,MW886108,MW886108,MW886108_Argentina_ElDiquecito__d__2520_C1d1b2,-61.182,-34.439,Argentina,"El Diquecito, Laguna Mar Chiquita",,C1d1b2,Y,2520,"2702-2338 calBP (2438 ± 47, AA93741)",direct_radiocarbon_dating,human,100.7,,0.9996982316,Angelina Garcia,Angelina Garcia,,https://academic.oup.com/hmg/article/30/13/1200/6226240,
I16817,"3255 (341, 2014.052.235)",,,I16817.AG,I16817_USA_Guam_d_2518_n/a (<2x),144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,n/a (<2x),Y,2518,"735-400 calBCE (2505±20 BP, PSUAMS-7117)",direct_radiocarbon_dating,human,0.3972,,0.2743677953,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I16819,"3257 (307, 2014.052.070)",,,I16819.AG,I16819_USA_Guam_d_2518_E,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E,Y,2518,"735-400 calBCE (2505±20 BP, PSUAMS-7118)",direct_radiocarbon_dating,human,3.001207,,0.828052387,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
JAB-23,,JBT013.A0101,,ERR11770500,JAB-23_Brazil_SantaCatarina_d_2515_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 110 (L2), Pars Petrosa",C1c,Y,2515,2675-2355,direct_radiocarbon_dating,human,94.9439,1.01216,0.9996982316,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
GUY002,7398,,,GUY002.A0101.MT1.1,GUY002_Cuba_GuayaboBlanco_d_2510_A2,-80.924,22.301,Cuba,Guayabo Blanco,,A2,Y,2510,2698 - 2360 cal BP,direct_radiocarbon_dating,human,50.3534,,1,NageleScience2020,Kathrin Nagele,,https://www.science.org/doi/10.1126/science.aba8697,
JAB-35,,JBT002.A0101,,ERR11770495,JAB-35_Brazil_SantaCatarina_d_2510_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 11 (L1.25 - E1), Pars Petrosa",C1c,Y,2510,2667-2353,direct_radiocarbon_dating,human,140.998,1.01216,0.999637878,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I10334,CUEVA_L19,,,I10334.AG,I10334_DominicanRepublic_CuevaRoja_c_2500_D1,-71.6455,17.87,Dominican Republic,"Cueva Roja (southern DR, Pedernales)",,D1,Y,2500,1300 BCE - 200 CE,contextual,human,27.363329,,0.9941456938,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
I17595,S17595.E1.L1,,,I17595,I17595_Cuba_CanímarAbajo_c_2500_C,-81.5,23.04,Cuba,Canímar Abajo,2300; C152 bolsa 50 N2B,C,Y,2500,1200 BCE - 1200 CE,contextual,human,,,0.9637274428,FernandesSirakNature2020,Daniel Fernandes,,https://www.biorxiv.org/content/10.1101/2020.06.01.126730v1,
I18320,3515 (14),,,I18320.AG,I18320_DominicanRepublic_CuevaRoja_c_2500_D4,-71.6455,17.87,Dominican Republic,"Cueva Roja (southern DR, Pedernales)",,D4,Y,2500,1300 BCE - 200 CE,contextual,human,3.499,,0.8019796005,FernandesSirakNature2020,harvard,,doi:10.1038/s41586-020-03053-2,
JA05,,,KJ489286,KJ489286,JA05_Peru_CentralAndes__c__2500_A2,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,A2,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA07,,,KJ489287,KJ489287,JA07_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA12,,,KJ489254,KJ489254,JA12_Peru_CentralAndes__c__2500_B2,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,B2,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA19,,,KJ489288,KJ489288,JA19_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA25,,,KJ489289,KJ489289,JA25_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA48,,,KJ489296,KJ489296,JA48_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA58,,,KJ489301,KJ489301,JA58_Peru_CentralAndes__c__2500_C,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,C,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
JA64,,,KJ489303,KJ489303,JA64_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
ME02,,,KJ489306,KJ489306,ME02_Peru_CentralAndes__c__2500_C1(b8),-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,C1(b8),Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
PC03,,,KJ489277,KJ489277,PC03_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
PC05,,,KJ489278,KJ489278,PC05_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
PC08,,,KJ489280,KJ489280,PC08_Peru_CentralAndes__c__2500_D1,-75.185483,-14.533933,Peru,"Central Andes, Southern Peru",,D1,Y,2500,840–260 BC,contextual,human,,,0.02341722494,FehrenSchmitzPNAS2014,Lars Fehren-Schmitz2,"partial, ~388",,
Ancient302,,,,A2-64_aDNAmt302,Ancient302_Canada_PrinceRupertHarbor_d_2498_A2p,-130.327083,54.312194,Canada,"Prince Rupert Harbor (PRH), British Columbia",,A2p,Y,2498,"2,498 ± 142 cal y B.P.",direct_radiocarbon_dating,human,,,0.9999396463,LindoPNAS2017,,,,
JAB-31,,JBT001.A0101,,ERR11770494,JAB-31_Brazil_SantaCatarina_d_2479_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 10B (L1.25 - E1), Pars Petrosa",C1c,Y,2479,2607-2351,direct_radiocarbon_dating,human,109.594,1.01216,0.9999396463,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
MW886107,,,MW886107,MW886107,MW886107_Argentina_ElDiquecito__d__2454_C1b,-61.182,-34.439,Argentina,"El Diquecito, Laguna Mar Chiquita",,C1b,Y,2454,"2699-2209 calBP (2400 ± 47, AA93740)",direct_radiocarbon_dating,human,55.1,,0.9997585853,Angelina Garcia,Angelina Garcia,,https://academic.oup.com/hmg/article/30/13/1200/6226240,
71JM,,OP605621,,"OP605621.1 Homo sapiens haplogroup B2b mitochondrion, complete genome",71JM_Argentina_BuenosAires_d_2425.5_B2b16,-59.65,-38.683,Argentina,"El Guanaco 1 / Buenos Aires, Pampas region",,B2b16,Y,2425.5,"2712–2139 cal BP (associated with 68JM, 69JM, and 70JM)",direct_radiocarbon_dating,human,,,0.9995775243,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
72JM,,OP605622,,"OP605622.1 Homo sapiens haplogroup B2 mitochondrion, complete genome",72JM_Argentina_BuenosAires_d_2425.5_B2ak1,-59.65,-38.683,Argentina,"El Guanaco 1 / Buenos Aires, Pampas region",,B2ak1,Y,2425.5,"2712–2139 cal BP (associated with 68JM, 69JM, and 70JM)",direct_radiocarbon_dating,human,,,0.9995171706,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
JAB-37,,JBT025.A0101,,ERR11770509,JAB-37_Brazil_SantaCatarina_d_2422_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 17A (L2.05 - E3), Pars Petrosa",C1c,Y,2422,2491-2353,direct_radiocarbon_dating,human,76.1797,1.01216,0.999637878,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I16822,"3260 (343, 2014.052.236)",,,I16822.AG,I16822_USA_Guam_d_2420_E2a,144.806559,13.519983,USA,"Naton Beach Site (Guam, Tamuning)",,E2a,Y,2420,"545-395 calBCE (2480±20 BP, PSUAMS-7121)",direct_radiocarbon_dating,human,4.691472,,0.897338403,LiuScience2022,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
JAB-28,,JBT018.A0101,,ERR11770503,JAB-28_Brazil_SantaCatarina_d_2417.5_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 34 (L2.05 - E4), Pars Petrosa",C1c,Y,2417.5,2489-2346,direct_radiocarbon_dating,human,129.093,1.01216,0.999637878,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
74JM,,OP605623,,"OP605623.1 Homo sapiens haplogroup C1d mitochondrion, complete genome",74JM_Argentina_BuenosAires_d_2414_C1d,-61.42856,-38.83757,Argentina,"Laguna Toro / Buenos Aires, Pampas region",,C1d,Y,2414,2685–2143 cal BP (associated with 75JM),direct_radiocarbon_dating,human,,,0.9995775243,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
75JM,,OP605624,,"OP605624.1 Homo sapiens haplogroup A2 mitochondrion, complete genome",75JM_Argentina_BuenosAires_d_2414_A2ay,-61.42856,-38.83757,Argentina,"Laguna Toro / Buenos Aires, Pampas region",,A2ay,Y,2414,"2685–2143 cal BP (2369 ± 52, UGAMS-16601)",direct_radiocarbon_dating,human,,,1,MottiAmJBioAnthropol2023,Motti2,,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.24727,
JAB-22,,JBT012.A0101,,ERR11770499,JAB-22_Brazil_SantaCatarina_d_2380_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 43 (L1.77 E3), Pars Petrosa",C1c,Y,2380,2428-2332,direct_radiocarbon_dating,human,94.7382,1.01216,0.999637878,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
JAB-30,,JBT020.A0101,,ERR11770505,JAB-30_Brazil_SantaCatarina_d_2345.5_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 15 (L1.05-E1), Pars Petrosa",C1c,Y,2345.5,2359-2332,direct_radiocarbon_dating,human,24.7057,1.01216,0.9994568169,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I17889,"3456; L-10, 565",,,I17889.AG,I17889_Venezuela_LasLocas_d_2345_B2j,-69.64,10.03,Venezuela,Las Locas,"3456; L-10, 565",B2j,Y,2345,"411-381 calBCE (2330±20 BP, PSUAMS-7364)",direct_radiocarbon_dating,human,189.3,,0.9989136339,FernandesSirakNature2020,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
JAB-32,,JBT021.A0101,,ERR11770506,JAB-32_Brazil_SantaCatarina_d_2343_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 37 (L2.05 - E4), Pars Petrosa",C1c,Y,2343,2357-2329,direct_radiocarbon_dating,human,88.6324,1.01216,0.999637878,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I17892,"3459; L-10-4-10, 567",,,I17892.AG,I17892_Venezuela_LasLocas_d_2337_B2j,-69.64,10.03,Venezuela,Las Locas,"3459; L-10-4-10, 567",B2j,Y,2337,"409-365 calBCE (2315±20 BP, PSUAMS-7365)",direct_radiocarbon_dating,human,138.7,,0.9974047921,FernandesSirakNature2020,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
I12376,75JM,,,I12376.AG,I12376_Argentina_SouthwestOfBuenosAires_d_2333_A2+(64),-61.42,-38.84,Argentina,"Southwest of Buenos Aires, Laguna Toro",,A2+(64),Y,2333,"736-194 calBCE (2369±52 BP, UGAMS-16601)",direct_radiocarbon_dating,human,143.6,,0.999818939,NakatsukaNatCommun2020,harvard,,,
JAB-19,,JBT009.A0101,,ERR11770496,JAB-19_Brazil_SantaCatarina_d_2322_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 38 (L2.15.13 N15/N14), Pars Petrosa",C1c,Y,2322,2491-2153,direct_radiocarbon_dating,human,122.154,1.01216,0.9996982316,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
MW886110,,,MW886110,MW886110,MW886110_Argentina_ElDiquecito__d__2288_C1b,-61.182,-34.439,Argentina,"El Diquecito, Laguna Mar Chiquita",,C1b,Y,2288,"2422-2154 calBP (2331 ± 46, AA93745)",direct_radiocarbon_dating,human,19,,0.9996982316,Angelina Garcia,Angelina Garcia,,https://academic.oup.com/hmg/article/30/13/1200/6226240,
JAB-38,,JBT026.A0101,,ERR11770510,JAB-38_Brazil_SantaCatarina_d_2284.5_C1c,-48.806,-28.424,Brazil,Santa Catarina,"Jabuticabeira II - Burial 41A (L2.05), Pars Petrosa",C1c,Y,2284.5,2355-2214,direct_radiocarbon_dating,human,75.2018,1.01216,0.9995775243,FerrazNature2023,,,https://www.nature.com/articles/s41559-023-02114-9#Sec25,
I9058,JK1767 Jabuticabeira II MPI 25,I9058,,ERR2880993,I9058_Brazil_Jabuticabeira2_d_2280_C1c,-49.00583333,-28.55,Brazil,Jabuticabeira 2,,C1c,Y,2280,2360-2160,direct_radiocarbon_dating,human,2.46127,0.820525,0.5153600097,PosthCell2018,,,https://pubmed.ncbi.nlm.nih.gov/30415837/,
I17894,"3461; L-104-1, 1775",,,I17894.AG,I17894_Venezuela_LasLocas_d_2263_B2d,-69.64,10.03,Venezuela,Las Locas,"3461; L-104-1, 1775",B2d,Y,2263,"395-209 calBCE (2265±20 BP, PSUAMS-8216)",direct_radiocarbon_dating,human,154.1,,0.9972237311,FernandesSirakNature2020,harvard,,https://www.nature.com/articles/s41586-025-09731-3#data-availability,
